,Population_thousands,All_Causes,Diarrhoeal_diseases,Intestinal_nematode_infections,Ascariasis,Trichuriasis,Hookworm_disease,Food-bourne_trematodes,Otitis_media,Maternal_conditions,Preterm_birth_complications,Nutritional_deficiencies,Protein-energy_malnutrition,Iodine_deficiency,Vitamin_A_deficiency,Iron-deficiency_anaemia,Mouth_and_oropharynx_cancers,Lip_and_oral_cavity,Nasopharynx,Other_pharynx,Oesophagus_cancer,Stomach_cancer,Colon_and_rectum_cancers,Liver_cancer,Liver_cancer_secondary_to_hepatitis_B,Liver_cancer_secondary_to_hepatitis_C,Liver_cancer_secondary_to_alcohol_use,Pancreas_cancer,"Trachea,_bronchus,_lung_cancers",Non-melanoma_skin_cancer,Breast_cancer,Cervix_uteri_cancer,Corpus_uteri_cancer,Ovary_cancer,Prostate_cancer,Testicular_cancer,Kidney_cancer,Bladder_cancer,Brain_and_nervous_system_cancers,Gallbladder_and_biliary_tract_cancer,Larynx_cancer,Thyroid_cancer,Mesothelioma,Hodgkin_lymphoma,Non-Hodgkin_lymphoma,Multiple_myeloma,Leukaemia,Diabetes_mellitus,Thalassaemias,Sickle_cell_disorders_and_trait,Depressive_disorders,Major_depressive_disorder,Dysthymia,Bipolar_disorder,Schizophrenia,Alcohol_use_disorders,Opioid_use_disorders,Cocaine_use_disorders,Amphetamine_use_disorders,Cannabis_use_disorders,Anxiety_disorders,Eating_disorders,Autism_and_Asperger_syndrome,Attention_deficit/hyperactivity_syndrome,Conduct_disorder,Idiopathic_intellectual_disability,Alzheimer_disease_and_other_dementias,Parkinson_disease,Epilepsy,Multiple_sclerosis,Migraine,Non-migraine_headache,Glaucoma,Cataracts,Macular_degeneration,Rheumatic_heart_disease,Hypertensive_heart_disease,Ischaemic_heart_disease,Ischaemic_stroke,Haemorrhagic_stroke,"Cardiomyopathy,_myocarditis,_endocarditis",Chronic_obstructive_pulmonary_disease,Asthma,Peptic_ulcer_disease,Cirrhosis_due_to_hepatitis_B,Cirrhosis_due_to_hepatitis_C,Cirrhosis_due_to_alcohol_use,Appendicitis,Gastritis_and_duodenitis,Paralytic_ileus_and_intestinal_obstruction,Inflammatory_bowel_disease,Gallbladder_and_biliary_diseases,Pancreatitis,Acute_glomerulonephritis,Chronic_kidney_disease_due_to_diabetes,Benign_prostatic_hyperplasia,Urolithiasis,Infertility,Gynecological_diseases,Skin_diseases,Rheumatoid_arthritis,Osteoarthritis,Gout,Neural_tube_defects,Cleft_lip_and_cleft_palate,Down_syndrome,Congenital_heart_anomalies,Dental_caries,Periodontal_disease,Edentulism,Sudden_infant_death_syndrome,Poisonings
Afghanistan,34656.0,18144.447543,709.743629425,28.9579958467,27.9989719806,0.435020502523,0.524003226459,,29.5440303717,225.251532291,1438.50515716,233.535187626,72.8230419426,27.374028348,3.44215357745,127.516348953,46.6597393646,33.5115709763,2.74470080709,10.4034673557,44.7368498764,63.8387143707,36.3731764202,29.3146303711,16.8128228865,5.57417533159,3.6001239073,6.65946484375,40.7917766609,3.97620117474,78.9717237966,26.3000085545,13.0295237865,12.5659689264,4.99889564276,8.12031707585,21.0874934288,10.5944100761,72.9156311466,4.41942643452,10.0302451711,2.78181526256,0.428949290037,29.154409265,74.4028990231,2.44478981185,93.3068186891,337.979694714,32.2790686169,86.5931335411,196.199654801,172.577352414,23.6223018959,44.2164059873,22.1902842443,25.7487973741,112.969184831,2.14178399205,0.587500847209,1.51902133713,141.942952831,6.38774395657,42.8461786253,4.99158324536,47.0974212036,74.9918104682,48.9407659874,3.13239865273,93.7651385353,3.35334231269,135.085147356,35.9086053314,3.49610661697,24.1905454063,4.42592367554,53.5346909409,33.6694105735,932.61006398,179.490118858,278.410628586,18.5110599251,138.660894714,162.958228729,51.8981369019,39.8013634605,14.5803725248,5.62729828739,18.7982663555,5.95025534534,18.1107201996,2.83895031929,7.49674145889,5.16877768707,0.330998014585,78.7769579767,9.52855886841,0.86257253319,8.06121395016,39.1058442421,89.8067499933,17.2444795074,30.2536371765,1.76887950778,93.8104519079,0.973907174058,12.6646757791,237.038007482,8.91527192044,13.2910405159,18.6392145309,38.2207900848,30.874814288
Albania,2926.0,883.875663574,2.20123147249,0.001349423849,0.001349423849,,,,1.09004398058,0.613732552316,10.5240074322,6.57376373959,1.04593835551,0.690471849203,,4.77604013753,3.3030597617,1.60270634508,0.48977422303,1.21057915759,1.51737329555,19.3655966854,5.29699525738,6.76255918121,2.20634255779,2.6429259551,1.24425952066,5.70687234616,28.5383133049,0.888648812175,10.883728654,1.24481095028,1.39355712414,1.08351232243,4.02273871136,0.284668429852,3.27204624292,3.91866988617,10.2184598905,0.450625139475,2.21346301246,0.4326475541,1.04812065768,0.737664000507,0.82144549649,0.441180613995,5.45036764497,10.1085944654,1.16690370402,0.292973766094,12.0071349731,9.03361808378,2.97351692655,4.00784681463,4.33223301423,6.8165217456,3.00302370004,0.25911823523,0.286211244576,0.258456934631,9.84063657379,0.634876269996,3.61531066072,0.247121759503,2.26545895767,2.47789429872,17.5811690716,3.06867432242,5.61738656517,1.52266433977,14.0551003704,3.74143772745,0.773217321455,1.32690892458,1.11235383701,2.84360841227,3.51376978192,138.4664284,19.223362618,78.2772282476,13.0403916609,12.3622019773,6.55676666641,1.16797149026,2.23181510193,2.08218280312,3.41174625981,0.176606723905,0.498362359762,0.8550751279,1.15121494102,0.530396221668,0.887581355512,0.023400359381,2.64131328403,2.13122778702,0.158257789254,0.31382032752,4.30386289597,6.8737453191,2.57308556628,8.7956295433,0.404786786377,1.56121709156,0.017508532993,0.457161527991,9.83176854324,0.786014010191,1.90136365819,6.20591113663,1.22160741198,0.817360321045
Algeria,40606.0,10833.0411719,154.800702576,0.722582837939,0.590652082205,0.014566859957,0.117363893235,,17.5928167012,61.9743538482,496.444424358,181.146919403,18.603551384,18.6993886185,4.24052283382,138.463805153,33.8654714737,5.11430251789,23.4028280525,5.34834114647,6.08659264088,50.4333013992,78.8957432709,14.6251318016,3.64086740732,7.48041527963,1.81392115294,18.2416145353,85.3782926331,2.14266139984,127.561798796,17.4920897741,1.79170908165,21.442774353,12.2574864635,1.90270489597,16.6813038228,20.5765384026,55.0464117384,25.0345502071,8.50323515511,12.1514456453,2.44538921809,16.2843520812,37.6165072963,12.5402890697,57.879710515,407.778548229,28.6432830162,8.17476518488,252.475477976,213.024432565,39.4510420191,67.1912549515,48.0238224888,34.8477456431,120.506461947,2.72904428196,0.735894804493,1.86512334111,191.668704666,15.1292169056,52.1240228157,5.11209346008,34.7961525879,40.5331929799,199.246250278,16.6864101164,75.6465612109,6.29565255594,199.899934616,56.4549405899,20.3624854088,44.3672810593,22.2512419434,19.7494151917,49.1130725565,936.975118706,197.668299568,177.396092789,46.8599052887,118.623178009,135.577488647,21.9141859131,25.0196620272,47.1208656755,7.71100575733,6.39439673615,10.2720504036,17.2364550972,3.4393748703,8.00339954185,6.15481155586,0.341269098589,95.2726888539,21.6626062012,1.5697739687,9.04802921867,61.3228933258,111.444742532,27.7103495483,93.3969810791,3.94204283297,27.865412426,0.406976295829,24.5780856571,157.288703208,9.53439590454,26.6898784714,45.7174197388,24.417546051,23.1422870655
Angola,28813.0,16720.3346777,1526.05729443,25.6579889522,9.31775663835,1.40106422397,14.9391684084,,16.9381340621,214.423040306,1102.04974615,746.32252951,515.319452286,27.8187353516,2.7317185272,175.290780012,12.4228606339,7.42993439102,2.537691131,2.4552351892,15.0020651665,11.6304078465,14.6786875801,22.6205663099,7.6227800976,6.27473836708,6.91594043756,3.83010883427,5.9442795248,1.66019821167,27.8972897125,45.2605152588,1.57370200157,6.21660323715,16.0624960251,0.539278778255,5.10125171447,4.20293582058,4.38837457591,0.756497154593,2.18203518081,1.56799952984,0.331547511041,2.28218729902,17.0348597717,2.7779665184,10.3172808573,107.628429743,1.6899410615,105.085571875,145.637631207,123.874747402,21.7628845762,25.326532095,20.4267778996,49.9108033037,32.94752043,0.752414386742,0.422010303874,1.26493920518,69.0611824741,6.0574855938,30.8605649221,4.16727722956,33.6974182739,34.6177436399,36.5663468142,1.94805821924,87.611403918,0.676851123005,67.5429086075,16.9775051866,2.40022892189,13.312276577,3.54263520432,37.0122432632,46.0489367237,231.032527046,65.37418013,152.46766732,42.3932865448,80.7611636353,120.771049271,35.7899997559,47.2372989951,42.8986367627,33.1569056664,24.7843314266,11.1621723595,82.2258020782,11.4197515278,10.1899183121,8.72107825947,0.620779030386,15.1155072152,5.68985108948,0.689609970152,5.90166827583,29.6324704933,125.438094491,9.077688344,21.4647331772,1.41470460701,117.714277052,5.44141004202,9.02742053998,211.273573761,4.45032540226,8.99978221798,13.4035488892,51.531099472,59.0146812763
Antigua and Barbuda,101.0,26.4497052841,0.142901060581,0.000333994364,1.2582442e-05,,0.000321411923,,0.034138538516,0.191435462345,0.351666659352,0.625911229134,0.066674396887,0.007501762879,0.004406374119,0.547048826277,0.06113389462,0.015593811875,0.019161962227,0.026378118505,0.023216743058,0.187012607989,0.430855185656,0.1661553702,0.074102758468,0.037308463314,0.032378782544,0.139766290978,0.116762206728,0.010297913715,0.511765865246,0.195742276954,0.06069058151,0.073551275324,0.566680545829,0.000149929053,0.06244904466,0.052202923975,0.104706414536,0.038533424413,0.034562734032,0.025413491736,3.110479e-05,0.000547324079,0.073348669728,0.168938149137,0.14414923319,1.7270762624,0.007455811398,0.172185127706,0.483026328993,0.386031857809,0.09699446912,0.177701304331,0.1468509515,0.408498777523,0.124848140597,0.01925341716,0.00340484556,0.008200489859,0.384266696811,0.038854692224,0.115504005285,0.020189569323,0.072011303306,0.039925239406,0.140993997853,0.01748489727,0.210609231622,0.022321867391,0.415579018056,0.121115084872,0.017729040805,0.036053324608,0.00657978306,0.001480184863,0.602860442668,1.89078635888,0.459831846492,0.736636304572,0.116126009194,0.29160786806,0.436385514617,0.026784002228,0.078791380239,0.034263621191,0.091824077731,0.010438049285,0.031320380213,0.053790289827,0.004816719419,0.02322633739,0.021576604851,0.000233026654,0.127179755855,0.038864793077,0.004877349607,0.049668278769,0.130704700857,0.375282438481,0.091715634778,0.200167667866,0.008942215144,0.021693546135,0.004321036062,0.016164539097,0.414944764504,0.032469818033,0.101141443998,0.135973980755,0.008021473199,0.022178229753
Argentina,43847.0,12020.7567422,36.3031798172,4.43427634239,0.647207941294,0.005259440865,3.78180897713,,13.7166637623,29.0517890487,242.320090024,88.9084135704,19.5797532163,5.20860620165,0.006224378109,62.778542738,28.6121655817,18.7014119744,1.72779560164,8.18295742959,49.0683918133,86.3241594028,200.346750389,47.9116669922,10.4079742012,12.363436045,22.2838109375,97.6142112541,252.111693998,8.14759403393,182.077004098,74.7534451027,29.1011094837,35.507947216,80.5060065022,13.2602068977,57.9609379652,33.3533501522,52.2899870033,35.1654756684,24.5506301384,6.28262205422,5.37070424148,8.18546937667,48.1937084312,18.5383806416,74.7062098811,350.6392878,3.53956101513,2.89028657353,260.738643494,200.793132302,59.9455113757,75.0604535904,55.1447807045,116.807807649,68.9532848068,19.1968716583,13.2207974348,4.94090592432,250.149262405,22.5884912338,56.9880169783,6.51547450231,37.7176853027,30.4883416148,97.2694950218,20.1955523056,47.222148341,8.93688403916,191.13489801,40.8911924057,11.6290977912,22.461598361,18.4055645523,4.65595840287,68.0184567295,861.180114372,218.107095509,251.934895086,94.2673282776,378.929714767,130.285542603,11.7747212601,34.9177798853,31.5994683519,44.7906230035,3.74506492615,4.38945323849,30.1868252239,3.32272065425,16.6374073452,24.4515989029,0.23363107625,84.3405708124,33.6212881775,1.33787976766,5.48654981041,45.0598415222,150.569271951,73.3196554527,82.8271208496,10.0823252537,24.9341638794,0.324358033597,14.5539450927,107.346438791,16.8259507065,30.0352383575,58.4136801453,21.4514184265,15.0404945679
Armenia,2925.0,957.425877441,3.14758295059,0.011540369395,0.001416076567,,0.010124292887,,1.21843294469,0.578986634545,13.7778843232,8.15554188633,0.49290680863,2.01314517824,,5.58693756008,2.82187088239,1.17658789563,0.588351235867,1.05693171203,1.40422444773,12.975333724,11.8929614096,10.5564745131,5.10664185148,2.94897752466,1.64507976059,10.0889430027,35.6633745155,0.638355119944,16.0743433137,5.24023434544,1.91157765341,3.61599832535,5.01868391371,0.340379907459,5.66119121886,5.1415739131,8.11148322862,2.45130127561,2.87312301922,1.63642310381,0.220603714943,0.722036507149,2.07945046076,0.68727935946,6.37045232677,36.5078504842,1.85986046547,0.342610120285,15.7127138113,11.6876162362,4.02509777233,4.23779390574,4.63195021081,7.83423572441,4.85164492482,0.318641702414,0.289975663245,0.208867354468,7.97693671227,0.592636175394,3.53675967354,0.244214527379,1.90493513107,2.66615215688,15.7170028615,2.26348926102,3.49247763045,0.413617581137,14.1706967335,3.45882328606,0.80844656533,2.33138636994,1.02458896446,2.75421888864,8.11683209962,154.690827552,27.6093953439,18.2159017081,2.40628347564,18.0911870828,5.99276486397,4.29954563057,7.77666411145,3.95964219385,5.77073270485,0.368765918374,1.03567698646,1.49997808361,0.469167392731,1.76016835555,0.711553099066,0.025097492683,5.68789113149,1.67851682377,1.1475196958,0.480563525021,4.46871700191,7.1805616608,2.440566746,9.77186708832,0.432567320928,2.17453027678,0.052262385264,0.525685576677,6.75716719162,0.799637497902,1.90105007219,7.74100426292,0.267904371262,1.12025867152
Australia,24126.0,5580.72757227,7.10181829524,,,,,,4.92028871995,2.35527819976,40.3074668016,14.4748201723,2.7704291935,2.92830120444,,8.42392722702,23.4841238968,12.4046616777,2.25603055102,8.82343161797,30.5889506937,29.3735746721,124.880931626,40.9200983994,17.4281620495,3.61185905027,16.9066008925,55.790630597,184.396816579,15.1362868156,85.4290722731,9.22600368881,10.9807038784,22.7135254784,60.5527137563,1.31496846676,24.0206920832,19.6543019276,46.5584121161,5.59116484962,5.52157460165,3.80281879359,14.2826935011,2.63167138426,34.5512899933,21.2259942857,41.1282733765,156.63385138,2.00699098682,0.692545854464,199.591508496,163.580447997,36.0110606476,67.2544543304,58.5877365932,53.3405789517,84.3720003285,9.17533099365,22.4794487739,4.93262578416,140.481045578,16.5263921442,36.2650176821,4.55016119306,15.5394050903,11.7927441488,196.771310503,28.0842994672,23.8769545635,10.6718078253,120.794073807,25.0086170883,2.89659744608,6.64673718047,5.41520921326,6.78249592483,18.4209695048,366.068084475,88.9501173782,89.7905699852,38.2497695255,160.768840496,114.162308472,6.66792216396,26.811284493,5.96777268736,15.5645487623,0.842906431437,2.43370034838,9.03401762187,2.98460039711,6.95614423162,5.27726992005,0.10865779885,28.0343824588,11.5672661591,1.32789072263,1.14671093607,23.1088856812,70.7425544043,36.3176382322,56.1223667526,8.75526560843,5.67371722412,0.185130530238,6.74723814106,17.269149292,4.55000487518,14.4028672714,64.3886407166,5.53579177475,4.35452942371
Austria,8712.0,2402.56674048,4.74022975588,,,,,,2.44405610776,0.40746593662,10.5623122876,7.32755958986,0.435836213827,2.7591358228,,3.85033423215,17.2365823603,8.3034369938,0.613263467543,8.31988185729,10.0686895458,17.6531143951,45.5924219861,17.8574476468,3.45995459202,4.29795066213,9.452562512,35.8483233188,96.4558752115,1.68619801338,40.0254211761,4.01768967139,5.79347840616,11.9878072025,22.4516108412,0.958990958452,9.8091101073,10.8159347007,18.4375166397,6.38425737692,4.02178822543,1.88586212066,2.23367451309,0.836362960869,13.8037954883,8.21017597366,16.6131928858,76.7765714821,0.968584267288,0.446753092647,50.7422203089,35.5156745222,15.2265455474,20.5318023262,16.601291173,31.6647523149,20.7213076782,1.37069951725,0.884279313803,0.603479019344,43.994654047,7.80803887796,10.1650867304,0.646978454897,4.76234085846,4.59849195381,56.3483936696,12.8519318752,9.14077912311,6.64801079798,50.0118516922,10.5459295731,1.13500311396,2.62399280339,1.64676152086,3.31184328976,30.9043563299,272.66009409,51.1697553368,36.9409053901,21.0733154941,66.6009118176,24.3028718719,3.74719001722,10.2134147701,9.93075241276,22.9935644294,0.391329767287,1.6081899488,2.5617773504,2.20244536936,2.95714019281,2.88118686652,0.018835065145,8.78984537292,10.8654502258,0.670886719972,4.42683333397,10.3749782867,22.5486703438,10.6930963041,24.2270949707,3.19547534338,2.58444097519,0.064925436258,4.64418503761,5.90362590313,3.35079505539,9.29523479271,28.6558787766,0.669680215836,1.52435857524
Azerbaijan,9725.0,2892.85423828,38.9615882587,0.067440822884,0.032028993987,,0.035411828625,,3.62507706904,3.14747830331,117.94254237,44.7460020828,4.10097438663,2.41851717973,,37.7966026974,5.68943052888,1.89904388428,1.08674322832,2.70364340591,11.9466745634,30.5258289948,14.4550738897,14.8428319511,7.46293228149,4.05460349691,2.11056311046,6.15712842274,38.8052578125,1.9791765871,18.7127510128,7.80933680725,1.52532338905,4.51310756779,5.47348797894,0.719639823318,5.38256794044,3.68929459524,16.2386995082,1.89118742037,4.77639010382,1.03542377996,0.18856675297,3.46540824657,6.13233481514,0.9696307832,18.9511855533,70.9143046516,12.2186410866,1.58352422887,42.2612058816,30.4333752571,11.8278307465,13.217179759,14.8180377817,46.0058764824,17.7894402289,1.37547327363,1.1970278652,0.73339385587,24.7107302437,2.52361848164,11.8652803054,0.873648234433,7.06657481384,7.06631003657,25.0648789907,4.24979456152,23.2727834762,0.903847689778,44.8656367855,10.8070380688,1.46202597976,5.36918249893,1.82688603592,11.1954201851,13.750482854,493.378872131,55.3060691799,113.973488379,19.1979720993,39.7107518864,20.2722280731,6.53012767458,28.7057131001,14.8641057373,21.2159254007,0.985475463867,1.5794783349,4.52913430977,0.829998075724,1.41321178269,1.21830190384,1.07426267406,17.0300412782,4.21830639648,0.442741999984,2.4952673763,15.6737866421,22.3791481979,6.21457761717,24.2596525269,1.16089221811,5.97946362019,0.136026164867,1.98697254109,52.744917003,2.52810876036,5.41023785973,18.3707970428,3.51566384792,3.91036259508
